"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"DR1TNUMF",-1.13023718318603e-07,0,9.43905384023238e-07,0,-1.10247135734617e-06,6.43956537988777e-07,-1.94063254009174e-07,0,0,-5.19615304922768e-07,-1.68386790754921e-07,0,0,9.03047913721235e-07,1.17714651640154e-06,1.86617353093467e-08,0,-9.40631169014413e-07,-4.47182614376436e-07,-3.24727533476648e-07,0,0,-2.37520518884289e-08,4.57984627292427e-07,1.4661221167552e-07,0,0,0,4.62832169166801e-07,0,0,0,-8.38900512792235e-10,7.64475955714664e-08,-1.00793044672762e-08,0,1.16001364127272e-08,7.9897807259112e-08,6.3406268356475e-07,0,-2.26919093830666e-07,-4.85291728936516e-07,-2.66774784678987e-08,0,0,0,0,0,4.54609032263766e-07,1.88074291190339e-07,-1.74647528961626e-07
"DR1TKCAL",-1.12415874097698e-09,-5.12443178970395e-07,0,-1.27602498016731e-07,2.51711874210894e-07,0,-2.08497563817489e-07,0,0,-2.71713807764914e-08,0,0,0,0,2.25153674391049e-07,5.98726384382639e-09,1.87133950056356e-08,0,-1.09258759066652e-07,0,0.00118134898002956,0,1.02246285747704e-07,3.77747937173999e-08,0,0,0,0,0,0,0,0,0,-9.12331693743955e-08,2.29235245796775e-07,0,0,0,0,0,4.76085756233037e-08,0,-1.01769065658389e-07,0,0,-2.66593633397285e-07,0,-1.49690718450476e-06,0,-4.0379117843615e-09,0
"DR1TPROT",0,-2.53636851392465e-07,1.139944775349e-07,-4.18130334453538e-09,3.75656796598656e-07,0,-1.77393987044453e-07,-8.6637538823662e-08,-2.76040552741169e-07,-3.2140118669833e-07,0,0,0,2.63267207227963e-08,1.94922361214598e-07,-1.95696061366646e-08,1.95223168967999e-07,0,0,-2.338248793555e-07,0.000911056229644214,-4.41222438610358e-08,6.59779638931483e-08,0,0,0,0,5.37497707864593e-08,2.44321091197858e-08,2.23576175085422e-07,3.45347525168721e-10,0,-3.50462266488399e-08,0,0,1.25374447049713e-07,-4.00292270375843e-08,-1.21312673388977e-07,0,0,0,0,0,1.64134525993718e-07,2.11857902890984e-08,0,0,-1.39528498031935e-06,0,-7.13002075075827e-08,0
"DR1TCARB",0,-1.00430302487447e-07,0,-2.06624918817238e-07,0,0,0,0,0,-6.09464041224736e-08,0,0,7.95307352174095e-10,0,0,1.56470499359084e-07,0,0,-5.7012628510693e-08,0,0.0102286977310949,2.04751272946094e-07,2.10976977421642e-07,2.92447682070458e-09,0,0,0,0,0,0,3.79146202757546e-08,5.41268214594535e-08,-1.04666894037517e-07,-1.21599460564455e-08,9.3854625077293e-08,0,-7.81213992593888e-08,0,0,0,1.14541422021033e-07,0,0,0,-2.58889109622929e-07,-1.37303983772824e-07,2.64221120877485e-08,-9.99827907895744e-07,2.99028408796213e-08,0,0
"DR1TSUGR",0,0,0,-6.86934569587983e-09,0,0,0,0,0,0,0,1.83969797795203e-07,0,0,0,3.33920582177769e-07,-1.5798703286242e-09,0,0,0,0.0116100414432582,2.84530434943039e-07,2.85800918655713e-07,6.87205435409319e-08,3.05066866106022e-07,-8.44440944460306e-09,-1.89103538539567e-07,0,-5.16809835747214e-08,0,0,0,-1.07544733114133e-07,0,2.91384356265068e-07,-1.18354921458935e-07,0,0,4.2547371337478e-07,0,6.82884383201484e-08,0,0,0,-2.79688575775628e-07,-1.63515338617199e-07,5.96892818923939e-08,0,0,0,-2.05601736372513e-07
"DR1TFIBE",-2.65461999862999e-07,0,1.2356820761437e-06,-1.67723391351388e-07,-1.87702605182595e-07,0,-6.53380138286761e-08,0,-6.56859247676086e-07,-8.58479134797453e-07,0,-2.10961838975923e-07,1.16144012142412e-07,0,1.94458551724848e-07,0,0,-4.50880556439169e-07,-9.51120740115602e-08,-6.59368507276103e-07,0.00367912887862226,0,0,0,-1.10466891990999e-07,0,9.02951739054536e-09,-1.3505601381612e-07,0,2.49893624134329e-07,1.0219329340396e-07,7.44589045532443e-08,-1.71053660768444e-07,1.29883405065384e-10,-2.11364287805127e-07,0,-1.74623598050728e-07,0,0,3.14156781084976e-08,-6.64252564761872e-09,-8.83468976301073e-08,0,9.14786930591687e-08,-1.63659693606208e-08,0,2.2287010519498e-08,-2.89703437041111e-08,3.85509371575795e-07,1.06847890958721e-07,0
"DR1TTFAT",0,-3.46184854948777e-07,0,-3.64943228098104e-08,3.17514898211231e-07,1.36409512849161e-07,-3.14598480188812e-07,-2.50309229765579e-07,0,0,0,1.92197091788912e-07,0,0,2.41114007934838e-07,0,2.24212116472686e-08,0,-9.84048202463525e-09,0,-0.00265965477241857,0,0,0,9.35342469066372e-08,-3.2422473004514e-08,-2.79927579676407e-07,0,-1.44140379293592e-08,1.11917588797665e-07,-7.06389391709218e-08,-5.40538326289241e-08,7.96812268667597e-08,-1.35022599114053e-07,1.25999393642858e-07,0,0,0,2.87621966017192e-07,1.46448681803569e-07,0,3.79334683646345e-08,-1.91578145685793e-07,0,0,-7.31393157075723e-08,0,-8.98315800361769e-07,0,-8.71214339440937e-08,-1.35859288512186e-07
"DR1TSFAT",0,-1.70568288416969e-07,0,0,2.83441495847537e-07,3.49449534466946e-07,-8.71544776646562e-08,-1.49422900215182e-07,0,0,0,4.76976017294935e-07,-6.5162446543468e-08,0,7.31347877007118e-08,1.44017563776142e-07,0,0,0,0,0,0,1.23168530172882e-08,0,5.91305058812914e-08,-1.11822892419601e-07,-5.22879322186855e-07,0,-3.05368242737517e-07,7.54621412578252e-08,-5.51377126904898e-08,-2.40510079125091e-07,0,-6.54527083994353e-08,1.60585204643446e-07,0,6.13494444037246e-09,0,1.0971703448467e-07,3.08643387950495e-07,0,2.90532939034452e-07,-3.4472565215522e-07,0,0,-8.59431478899043e-08,0,-7.55355722330055e-07,0,-1.46155318966929e-07,-5.68088319283738e-08
"DR1TMFAT",-6.73696724902363e-08,-2.2930155648464e-07,0,-9.88151549543315e-08,3.28719632136474e-07,0,-3.63500816543059e-07,-2.19968023869497e-07,0,0,0,7.28117634441104e-08,0,0,1.87074165562324e-07,1.11698717583897e-07,4.72595116856742e-08,0,0,0,-0.00180857995798373,0,0,0,2.93343466277465e-08,0,-1.58546954850279e-07,0,0,7.2307260066713e-08,-1.13437543785291e-07,0,1.40351677254452e-07,-1.27327628997781e-07,1.4818701135524e-07,0,0,0,3.32433148622625e-07,1.06841777260641e-07,0,0,-1.66016137119733e-07,0,0,0,0,-9.74037423191591e-07,0,-9.19683506251522e-08,-1.69011433022201e-07
"DR1TPFAT",-3.46528937519003e-08,-4.63363673087845e-07,0,-7.15870915445389e-08,2.67301377901663e-07,0,-2.51479046939546e-07,-1.8728086135194e-07,0,0,0,0,0,0,1.875476106237e-07,0,1.42460757993511e-07,0,-1.18807053516603e-07,0,-0.00600547778876561,-5.40416326731126e-09,0,1.24922447104995e-07,1.02265431072893e-07,0,-5.82351161233723e-09,0,0,1.35155899760712e-07,-1.17419172587133e-07,0,1.09074223814791e-07,-1.73551196018917e-07,0,8.58566582509174e-08,0,-8.28963844739624e-08,2.96479649819226e-07,0,5.66112021468785e-08,0,0,0,1.11415593448295e-08,-9.03219651568476e-08,0,-3.66014655668415e-07,0,0,-1.68458544234954e-07
