"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"DPQ010",-7.70947392573786e-12,-8.35310698349843e-11,0,0,0,-4.55403960218831e-10,4.76546605919708e-10,0,0,3.21823042865827e-10,0,6.81678984601265e-09,0,0,0,-2.51794688969846e-09,0,3.40785265600999e-09,0,-4.52396149562006e-09,0,0,-1.43456457232628e-10,-2.56298419489806e-10,0,0,-2.77815073183337e-10,-7.23706688539267e-10,0,-4.76670454571215e-08,-1.18021589452139e-10,0,1.1197166013807e-09,-4.13785292498688e-10,4.95591873575456e-09,1.14947432357811e-11,0,-3.27442278486171e-10,-9.51336909068686e-09,0,0,-2.34608794278608e-10,1.12105264215693e-09,-6.61698802862886e-11,6.73474214334399e-09,9.65452973794734e-11,7.02534623306648e-11,-5.04950017846081e-10,0,3.6046522950392e-10,0
"DPQ020",0,0,-8.88544300139053e-10,0,0,-5.38000803049453e-10,6.92659617818898e-10,-3.08398376502065e-10,5.06548705175059e-10,9.62101124835312e-10,2.26361178002803e-09,1.01581660675e-09,-5.70306075230385e-10,-4.76789281909409e-10,0,0,-3.91957206792136e-10,0,-2.76199363889195e-10,-8.15742929680079e-09,-1.94214219197088e-09,0,-7.89675642227437e-12,0,0,0,-1.6454027048908e-10,-2.05460242866886e-10,0,0,-6.86215243294302e-12,0,0,0,2.26380861247357e-08,1.38129827405975e-10,0,-1.5099745905479e-10,0,-2.31386744563282e-09,-1.08453899813137e-10,0,1.01527333694825e-08,0,1.52021455468665e-08,0,8.49244941535816e-10,-4.06099395811277e-09,0,0,-7.97719810249343e-10
"DPQ030",0,0,0,0,0,0,0,-7.54012679525263e-10,0,0,0,2.23864965544793e-10,0,-5.65585676837637e-09,0,-8.88843466054122e-10,0,0,-3.917038601699e-10,0,0,0,0,-5.81951947006975e-10,1.02608543728527e-10,0,0,-1.81207503262617e-09,3.22768331575131e-10,0,0,-2.16845890678237e-10,1.27101387350178e-09,0,1.14299816554344e-10,0,0,-6.5951571296817e-11,0,0,0,0,0,-3.16192641884107e-10,0,1.01256785353393e-09,0,0,2.49923415375548e-10,0,-1.14009480050388e-09
"DPQ040",-3.12620651657823e-10,-2.10442873789501e-10,-2.65690271565369e-09,-5.29999207231169e-10,3.22882581846263e-10,-4.09816233182315e-10,1.53084126391719e-09,-2.68373953191727e-10,0,5.55163698419335e-10,3.06265739670182e-09,0,-6.64171083192194e-10,0,0,0,-2.37225823546674e-09,3.50787652203976e-09,-9.43786554303906e-11,0,-4.83701506213813e-11,-7.74983671977113e-06,0,0,6.52869749370704e-11,3.11726763608571e-10,0,0,1.77960923882993e-09,0,0,0,0,-3.24543390902985e-10,1.6972101278014e-09,0,7.7554419616799e-10,-1.53963903562344e-10,-4.0988422187896e-09,-1.33621783405888e-09,-1.42687884769703e-10,0,0,0,0,0,0,0,0,3.28762659856497e-09,-4.75332186650465e-10
"DPQ050",-6.97145536249392e-09,-1.66182546240301e-11,-5.8622005224074e-10,0,1.03962612732016e-09,-7.75342491432974e-10,0,-6.73217948955592e-11,0,1.55587978636859e-09,3.28605464794685e-09,0,-1.25529027030406e-09,-2.47767826051487e-11,-1.53654925353021e-09,-9.21434401614882e-10,-6.59939584954117e-10,0,0,0,0,-1.38481553225512e-08,0,0,0,0,-7.84620682829084e-11,-1.76597569841706e-09,9.72139444073131e-11,-5.32457569823919e-09,-3.36828441097729e-10,-6.13423518945474e-10,0,-7.73569776198432e-10,0,6.42743104203508e-10,0,0,-1.65989097245031e-08,-1.41790580713275e-09,0,-1.55704219096907e-09,5.48767457670024e-10,-2.49711013857922e-11,7.74961443936002e-09,1.86399422833267e-10,0,-7.32289066463495e-09,1.53581631515866e-10,1.44182528692692e-09,0
"DPQ060",-4.80217350543824e-09,0,0,0,4.038642398505e-10,0,0,0,7.83808050152734e-10,0,4.9954199730086e-10,0,-4.20481024055574e-10,0,-1.48377774734802e-09,0,-1.8592839620216e-10,0,0,-2.05646786566445e-09,-3.00915106158435e-10,-2.4964372130411e-07,0,0,0,6.99263135385542e-10,0,0,0,0,0,0,1.96158214172974e-09,-3.45323946138092e-10,4.12817727066037e-08,0,0,0,0,0,0,-8.07668847213828e-10,2.34375090868212e-09,0,0,0,0,-3.46249406403233e-09,0,0,-2.13651066016122e-10
"DPQ070",0,0,0,-2.8627936398898e-10,5.45028378624856e-10,0,1.60840774062806e-09,-1.9420011145211e-10,5.42668962294827e-10,0,0,0,0,0,-1.54434744053673e-09,0,0,7.48176046913978e-09,0,0,-2.77506605680475e-09,0,0,-1.1168174992145e-10,3.18438238374308e-10,9.67864465492747e-11,0,0,0,-6.33336272329316e-09,-2.68112151569734e-11,0,0,0,0,0,9.85788974696503e-10,0,0,0,-1.25901928681228e-10,-2.62762283196719e-10,0,0,1.08640843612169e-10,0,0,-2.90924734751521e-10,0,0,0
"DPQ080",0,-2.51476360784376e-10,0,-3.18712220072628e-10,0,0,8.78024572046687e-10,0,8.71280303650205e-11,6.46405077280195e-10,0,0,-4.5735705544968e-10,0,0,0,0,8.68877859155623e-09,0,-1.65584970822719e-10,-4.53427272319166e-09,0,-5.80417633363263e-10,0,0,2.35304091930713e-10,0,0,0,0,0,-2.14311227674257e-10,1.53681451657869e-09,0,0,3.14409897439865e-10,1.46506850282627e-09,0,0,-1.94096849363008e-10,0,0,1.15588612265369e-09,0,0,0,2.58822993667146e-10,0,0,0,0
"DPQ090",0,0,0,-2.57973226952839e-10,0,-2.66498148864975e-11,0,0,2.65883601406004e-10,0,0,6.38690064496933e-12,0,-7.29604043413871e-10,0,-7.61327186595095e-10,0,1.02539846224193e-09,0,-8.38550628276756e-11,0,0,-2.81006122477592e-10,0,9.27126892474883e-11,5.9321084649694e-11,-7.04298576729518e-10,0,0,-4.01425134490503e-10,-4.88841548326457e-10,0,0,0,0,0,0,-8.77700108722943e-11,0,0,0,0,0,0,4.9714887272008e-10,2.84107434832469e-10,2.61147555179484e-09,0,8.60881976691003e-11,0,0
"SLQ050",-7.55245235962335e-11,-3.21603000740244e-10,-9.57875982298499e-11,0,1.27757998022952e-10,0,0,0,0,0,7.4001868363285e-10,0,0,-2.14418184928583e-10,-6.48709020401403e-10,0,-4.48439077534142e-10,0,-8.64492439132258e-10,0,0,-9.12220802259553e-11,0,-1.66442284734264e-10,0,0,-1.49170733108101e-10,0,8.02944390673181e-10,-7.15524811990665e-11,0,-2.51573161285092e-10,1.2816475138861e-10,-6.68926744975219e-12,0,0,3.1189191045029e-10,0,-2.08341528486324e-09,0,-3.43691432499516e-10,0,0,-1.16407105119043e-09,0,0,2.22330929965897e-10,0,1.34105142923006e-10,1.28945776092315e-10,-8.46585922650018e-11
