"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51"
"BPXPLS",-2.54410445663751e-10,0,0,0,0,-3.26820273233499e-08,-5.51067494764239e-08,0,3.39401565403068e-08,0,-3.75216196505756e-09,0,0,0,0,0,0,1.98807722051807e-08,0,0,0,1.68883908101567e-09,0,0,0,0,0,-2.22079983379659e-07,0,0,0,-3.12233812541608e-08,0,0,0,0,4.38080023675928e-08,0,4.30731904818582e-09,6.80819701629294e-08,0,0,0,0,1.55221238312442e-08,0,-6.85126003389318e-08,0,0,0,0
"BPXML1",0,5.63418569421982e-08,0,-6.13011875128991e-09,0,-5.49832117630462e-08,0,0,0,0,0,-1.62996988105303e-08,3.98417797317027e-08,0,0,0,0,0,0,0,0,1.70002035092836e-08,0,-7.37654160245186e-06,0,-1.4244079503274e-08,5.19897545847083e-08,0,-2.30463915925565e-09,5.30941758954307e-08,0,0,0,0,0,0,1.37305921272238e-08,0,0,9.1010694493992e-09,0,7.75459117155636e-08,0,0,0,0,0,0,0,0,-8.96930748843205e-08
"BPXSY1",-1.91750432247378e-08,1.28190338061992e-08,-7.96096666510831e-10,0,0,-1.10669868099448e-07,0,0,0,0,0,-5.78669339630849e-09,1.53552587918193e-08,0,0,0,1.41446625415761e-09,0,0,2.72541609842469e-09,0,5.29195408118143e-09,0,-3.46016454355963e-05,0,-4.75688879729884e-08,3.21147196524257e-08,0,-8.54962930171591e-08,0,0,0,0,0,0,5.30545153667976e-09,2.28794606748413e-08,0,0,0,0,8.57008152239641e-08,0,0,0,0,0,3.37711709185866e-08,-1.26499708931759e-08,0,-1.51988797243591e-07
"BPXDI1",-5.23139223930699e-08,1.46163237092053e-08,0,0,-7.26919209666543e-10,-8.70341609325007e-08,0,3.97823568601006e-08,0,-3.14110776424508e-08,0,-3.75983824801193e-08,4.70204541579482e-08,2.89696922363841e-08,-1.53554752382601e-08,0,2.67712200124902e-08,0,7.67960290494336e-07,0,0,6.72988555763127e-08,1.1452164768978e-08,0,0,-4.09506341033803e-08,0,-9.44468153719058e-08,-4.61200903097436e-09,2.29951876681388e-07,-9.2034526294858e-08,0,1.46185703467714e-07,0,0,2.25983597966176e-07,0,0,1.37493235391591e-07,5.14306976722591e-08,-2.40458615912844e-07,2.81348374189934e-08,0,1.17605361365869e-07,1.6868144431816e-08,0,0,0,-7.09480388444844e-08,0,0
"BPXSY2",-5.89106681679184e-09,0,-5.0095380312055e-10,0,0,-1.15710889299729e-07,0,0,0,0,0,0,2.10731037559184e-08,0,0,0,0,0,0,0,0,1.65777669216794e-08,0,-3.31805817525026e-05,0,-3.53418421055482e-08,3.83460690534814e-08,-5.10103563244285e-08,-6.1494171391783e-08,3.6573106969024e-08,-1.41338300783332e-08,-1.18262459003596e-08,0,0,0,0,3.9110803259064e-08,0,0,0,0,9.10202134612599e-08,0,0,0,0,0,1.68657789808116e-08,0,0,-1.24878008706695e-07
"BPXDI2",-3.95560750624865e-08,0,0,0,-4.91168963788661e-06,-7.7320026251635e-08,0,8.07354730357766e-08,0,0,0,-4.52636200705741e-08,0,3.05325426636775e-08,0,0,0,0,1.12677177487666e-06,0,0,5.32899091862554e-08,0,0,0,-6.56693258072724e-08,0,-1.06595060167128e-07,0,7.92042314813597e-08,-7.14155605164978e-08,0,1.39540378251894e-07,0,0,3.00750227086895e-07,0,0,0,9.8054720230205e-08,-2.76014395090955e-07,9.56918484584282e-09,0,1.65657481157952e-07,1.31227038173289e-07,0,-5.78930969278506e-08,0,-5.4248765283945e-08,-2.92330479558743e-08,0
"BPXSY3",0,0,-5.70308006833023e-09,0,0,-1.74869049456245e-07,0,0,6.9548908859567e-09,0,0,-9.01523060190347e-10,2.57197534586721e-08,0,0,0,5.31787039314077e-10,0,0,0,0,1.17323056910304e-08,0,-3.33588947798347e-05,0,-3.59322913638146e-08,3.6807766596454e-08,-5.52246060366756e-08,-3.58583474299209e-08,9.47436700033053e-09,-1.53895619781155e-09,-6.99586480302411e-09,0,0,1.0382722774448e-10,1.92810547101286e-09,3.12329220540874e-08,0,0,0,0,8.61461439605578e-08,0,0,0,-7.36695111684014e-09,0,0,-3.59466911468131e-09,0,-1.34235262094491e-07
"BPXDI3",-2.50084009872134e-08,0,0,0,-2.29677883816864e-06,-9.87150365026653e-08,0,1.28762047347291e-07,0,-5.21356153766922e-08,0,-3.79932715448576e-08,0,6.3329440744041e-08,-3.14947624836798e-08,0,3.19395275321216e-08,0,1.22250232199047e-06,0,0,5.27817332349911e-08,8.06094383840188e-09,0,0,-5.84097310738557e-08,0,-1.18353725305861e-07,0,7.8252286538527e-08,-1.00015335949179e-07,0,1.96181266409133e-07,0,0,2.81903461616485e-07,3.29340009995116e-08,0,0,3.11591622575518e-07,-2.36098235227935e-07,1.56953139561898e-08,0,1.89700559324739e-07,3.19077283139251e-07,0,-3.67544203635779e-08,0,-8.52784216296139e-08,-1.89207084034371e-08,-5.49353819077165e-09
"BMXWT",0,2.31984029487962e-07,-2.401116412935e-07,-9.62996586653702e-07,0,0,-3.85101489894534e-07,3.75053491954294e-07,6.17296327589213e-08,-1.05307077304129e-08,-6.8694393415292e-08,0,0,6.47230972891815e-08,-3.74827068409986e-08,5.94397547785125e-07,0,1.06392791889554e-07,6.13580819943137e-07,7.99229171712644e-08,-4.472869622886e-07,0,2.0809972681102e-07,-9.48856245257808e-08,-1.93058403884235e-07,0,3.9179677231544e-09,0,0,0,0,-2.37604624369069e-09,0,-2.44679269494442e-07,1.20676383287006e-07,3.8853555218121e-08,0,2.04465696175545e-07,3.23113419121708e-08,0,-6.24355662900716e-09,0,-9.03597117313252e-08,8.76955410865535e-08,7.37346754283339e-09,-3.35459572898578e-08,-2.417072053258e-08,3.8738814447711e-08,-5.61479676275372e-08,-4.81072011913287e-08,0
"BMXHT",0,0,0,-2.41830951299342e-06,-2.36082391579151e-07,0,-1.24326519980328e-06,5.40879037994117e-07,0,0,-1.35480994406281e-08,-7.34994324121514e-08,6.24399914073118e-08,1.48528775177656e-07,0,9.03133090360468e-07,0,0,1.86243811726006e-07,6.71737130648346e-09,-2.66438248915987e-07,0,0,-2.49862290861549e-07,-1.1115517938794e-08,0,0,-1.10908707307586e-07,0,1.10566492533792e-08,-1.95510767848265e-08,0,1.36448930437589e-08,-8.72462341675916e-08,1.49737918898346e-09,1.98956419495868e-08,0,1.05787381127339e-07,0,3.72499371728702e-07,-6.83038736788998e-08,0,-1.14523175094851e-07,6.14856499317932e-08,0,-6.46042131396186e-09,0,0,0,0,0
