"ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
4.47213595499958,1.4142135623731,0.223606797749979,1,1,0,0,0
3.16227766016838,1.4142135623731,0.948683298050514,1,0,1,0,0
4.12310562561766,0,0.98488578017961,0,0,0,1,0
4.47213595499958,1.73205080756888,1.90787840283389,1,0,0,1,0
3.87298334620742,0,1.03440804327886,1,1,0,0,0
1,1.73205080756888,2.23606797749979,1,0,0,0,1
2.23606797749979,1.4142135623731,0.932737905308881,1,1,0,0,0
4.47213595499958,0,1.27671453348037,1,1,0,0,0
1,1.73205080756888,0.932737905308881,1,0,1,0,0
4.12310562561766,1,1.64924225024706,1,1,0,0,0
2,2,1.33790881602597,1,1,0,0,0
3.46410161513775,1.73205080756888,1.58429795177549,0,1,0,0,0
2,2,1.552417469626,0,1,0,0,0
3.3166247903554,1,1.03440804327886,1,0,0,0,1
3,1,0.888819441731559,0,0,0,1,0
4,1.4142135623731,1.27279220613579,0,1,0,0,0
1,1.4142135623731,1.09544511501033,1,0,1,0,0
4.24264068711928,1.4142135623731,1.62480768092719,0,1,0,0,0
1.73205080756888,0,1.36014705087354,0,0,0,1,0
1,1.4142135623731,1.15325625946708,1,0,1,0,0
0,1.73205080756888,0.479583152331272,0,0,0,1,0
3.3166247903554,1.4142135623731,1.1,0,1,0,0,0
4.47213595499958,2,2.23606797749979,1,1,0,0,0
4.24264068711928,1,1.113552872566,0,1,0,0,0
2.82842712474619,0,2.15870331449229,0,0,0,1,0
3,1.4142135623731,1.05830052442584,0,1,0,0,0
2.23606797749979,1.73205080756888,1.26491106406735,1,1,0,0,0
4.47213595499958,0,1.40712472794703,1,1,0,0,0
4.47213595499958,1.4142135623731,0.806225774829855,1,1,0,0,0
3.46410161513775,1.73205080756888,2.23606797749979,0,1,0,0,0
1,1.4142135623731,2.23606797749979,0,0,1,0,0
3.87298334620742,1.73205080756888,2.23606797749979,1,1,0,0,0
2.82842712474619,0,0.556776436283002,1,0,0,1,0
2,1.73205080756888,1.14891252930761,0,0,0,1,0
3,2,2.23606797749979,1,0,1,0,0
2.23606797749979,2,1.46628782986152,1,1,0,0,0
1,1.4142135623731,2.23606797749979,0,0,0,0,1
0,2,1.16619037896906,0,1,0,0,0
4.47213595499958,1.4142135623731,1.62480768092719,0,1,0,0,0
0,1,0.959166304662544,1,0,1,0,0
3.3166247903554,1.73205080756888,1.42828568570857,0,1,0,0,0
4.24264068711928,1.73205080756888,1.03923048454133,1,0,0,1,0
4.47213595499958,1.4142135623731,0.989949493661167,0,0,1,0,0
3.16227766016838,1.4142135623731,1.42126704035519,1,1,0,0,0
3.60555127546399,1.73205080756888,1.03440804327886,1,1,0,0,0
3.87298334620742,1.73205080756888,1.37477270848675,0,1,0,0,0
3.46410161513775,2,1.70880074906351,0,1,0,0,0
0,1,1,0,0,1,0,0
2.23606797749979,1.4142135623731,2.23606797749979,1,0,1,0,0
4.47213595499958,1.73205080756888,2.14242852856286,0,1,0,0,0
3.60555127546399,1.4142135623731,1.1916375287813,0,1,0,0,0
0,1.73205080756888,2.23606797749979,0,0,0,1,0
2.82842712474619,1,1.11803398874989,0,1,0,0,0
2.82842712474619,1,1.74928556845359,1,1,0,0,0
1,1.73205080756888,1.33790881602597,1,0,1,0,0
